arm_description,arm_label,arm_role,ascertainment,ascertainment_basis,assessment_type,attribution_as_stated,attribution_evidence,cns_compartment,comparator_arm,delivery_route,dose_regimen,dose_unit,dose_value,effect_direction,effect_vs_control,endpoint_tier,event_cluster_id,exposure_duration,grade_basis,grade_status,hydroceph_grade,indication_population,is_human_system,n_affected,n_affected_comparator,n_at_risk,n_at_risk_comparator,notes,oligo_name,organ_system,readout_category,readout_is_qualitative,readout_name,readout_term_verbatim,readout_unit,readout_value,redistribution,seriousness,source_key,source_location,source_ref,source_vocabulary,species,statistic,strain,study_type,system_model,timepoint,tox_axis
pooled trial participants,tofersen 100 mg intrathecal,exposed,measured_null,"Serious adverse events defined per ICH guidance and diagnosed by investigators on symptoms, examination and diagnostic workup, as stated in the source's Methods.",investigator_diagnosis,not_discussed,"""Ten participants ... experienced a total of 12 serious neurologic AEs - 4 of myelitis, 2 of radiculitis, 2 of aseptic meningitis, and 4 of intracranial hypertension (ICH) and/or papilledema."" The enumeration is exhaustive for serious neurologic AEs and contains no hydrocephalus term.",CSF_and_neuraxis,NOT_APPLICABLE,intrathecal_lumbar,,NOT_APPLICABLE,NOT_REPORTED,no_change,NOT_REPORTED,A,L3-TOFERSEN-SAE,trial programme duration,"0 = a dedicated review of the serious neurologic adverse events in the tofersen programme enumerates myelitis, radiculitis, aseptic meningitis and intracranial hypertension/papilloedema, and names no hydrocephalus (SCHEMA.md rubric grade 0).",provisional,0,SOD1 amyotrophic lateral sclerosis,TRUE,0,NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,"Licence is CC BY-NC-ND; only abstract-level summary statistics are carried and no underlying table is reproduced. Counts are EVENTS, not participants. Full text at sources/raw/sweep1_tofersen_seriousAE_PMC12060635.xml. Retrieved 2026-08-29.",tofersen,NOT_APPLICABLE,hydrocephalus_event,FALSE,hydrocephalus_serious_AE,NOT_APPLICABLE,events,0,summary_stat_only,NOT_REPORTED,Tofersen_seriousAE_2025_MuscleNerve,"Abstract, Methods and Results",PMID 40017137; PMC12060635; doi 10.1002/mus.28372,NOT_APPLICABLE,human,approximately 7% of tofersen 100-mg-treated trial participants experienced any of the 12 serious neurologic AEs,NOT_APPLICABLE,clinical_trial,Pooled analysis of the tofersen clinical trial programme,trial programme,ventricular_enlargement
NOT_APPLICABLE,EU labelled population,exposed,measured_positive,"A regulatory label states identified risks. It is not a record of everything looked for and not found, so a silent label is a weaker negative than a trial-arm zero - except where, as here, the same label itemises several neighbouring risks and omits this one.",investigator_diagnosis,drug_attributed,"""Hydrocephalus. There have been reports of communicating hydrocephalus not related to meningitis or bleeding in patients treated with nusinersen 12 mg in the post-marketing setting. Some patients were implanted with a ventriculo-peritoneal shunt. In patients with decreased consciousness, an evaluation for hydrocephalus should be considered.""",CSF_and_neuraxis,NOT_APPLICABLE,intrathecal_lumbar,,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,A,NOT_APPLICABLE,NOT_APPLICABLE,"3 = the EU label states that some affected patients required a ventriculo-peritoneal shunt, i.e. permanent CSF diversion (SCHEMA.md rubric grade 3).",provisional,3,spinal_muscular_atrophy,TRUE,NOT_REPORTED,NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,"EMA product information. Rights of reuse were not established in this session, so redistribution is 'verify': the verbatim text is quoted as evidence and a redistributor should resolve the licence before republishing the value. Retrieved document at sources/raw/sweep4_ema_smpc_spinraza.txt. Retrieved 2026-08-29.",nusinersen,NOT_APPLICABLE,hydrocephalus_event,TRUE,ema_label_statement_hydrocephalus,NOT_APPLICABLE,verbatim_label_text,communicating hydrocephalus not related to meningitis or bleeding,verify,NOT_REPORTED,EMA_SmPC_Spinraza,"Annex I SmPC section 4.4 Special warnings and precautions for use, under its own subheading 'Hydrocephalus'",EMA_SmPC_Spinraza,NOT_APPLICABLE,human,NOT_REPORTED,NOT_APPLICABLE,regulatory_label,EMA Annex I Summary of Product Characteristics,NOT_APPLICABLE,ventricular_enlargement
NOT_APPLICABLE,EU labelled population,exposed,measured_positive,"A regulatory label states identified risks. It is not a record of everything looked for and not found, so a silent label is a weaker negative than a trial-arm zero - except where, as here, the same label itemises several neighbouring risks and omits this one.",investigator_diagnosis,drug_attributed,"""Some patients were implanted with a ventriculo-peritoneal shunt. ... The benefits and risks of nusinersen treatment in patients with a ventriculo-peritoneal shunt are unknown at present and the maintenance of treatment needs to be carefully considered.""",CSF_and_neuraxis,NOT_APPLICABLE,intrathecal_lumbar,,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,A,NOT_APPLICABLE,NOT_APPLICABLE,3 = permanent CSF diversion (SCHEMA.md rubric grade 3).,provisional,3,spinal_muscular_atrophy,TRUE,NOT_REPORTED,NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,"EMA product information. Rights of reuse were not established in this session, so redistribution is 'verify': the verbatim text is quoted as evidence and a redistributor should resolve the licence before republishing the value. Retrieved document at sources/raw/sweep4_ema_smpc_spinraza.txt. Retrieved 2026-08-29.",nusinersen,NOT_APPLICABLE,shunt_or_drain_intervention,TRUE,ema_label_statement_vp_shunt,NOT_APPLICABLE,verbatim_label_text,ventriculo-peritoneal shunt implantation,verify,NOT_REPORTED,EMA_SmPC_Spinraza,"Annex I SmPC section 4.4, subheading 'Hydrocephalus'",EMA_SmPC_Spinraza,NOT_APPLICABLE,human,NOT_REPORTED,NOT_APPLICABLE,regulatory_label,EMA Annex I Summary of Product Characteristics,NOT_APPLICABLE,ventricular_enlargement
NOT_APPLICABLE,EU labelled population,exposed,measured_positive,"A regulatory label states identified risks. It is not a record of everything looked for and not found, so a silent label is a weaker negative than a trial-arm zero - except where, as here, the same label itemises several neighbouring risks and omits this one.",investigator_diagnosis,drug_attributed,"""The serious adverse reactions in tofersen-treated participants were myelitis (4.1%), increase intracranial pressure and/or papilloedema (2.7%), radiculitis (1.4%) and aseptic meningitis (1.4%)."" Section 4.4 adds: ""Serious cases of increased intracranial pressure and/or papilloedema have been reported in patients treated with tofersen.""",CSF_and_neuraxis,NOT_APPLICABLE,intrathecal_lumbar,,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,B,NOT_APPLICABLE,NOT_APPLICABLE,"2 = serious increased intracranial pressure and/or papilloedema, named at SCHEMA.md rubric grade 2.",provisional,2,SOD1_amyotrophic_lateral_sclerosis,TRUE,NOT_REPORTED,NOT_APPLICABLE,147,NOT_APPLICABLE,"EMA product information. Rights of reuse were not established in this session, so redistribution is 'verify': the verbatim text is quoted as evidence and a redistributor should resolve the licence before republishing the value. Retrieved document at sources/raw/sweep4_ema_smpc_qalsody.pdf. Retrieved 2026-08-29.",tofersen,NOT_APPLICABLE,csf_pressure,FALSE,ema_serious_ICP_or_papilloedema_pct,NOT_APPLICABLE,pct_of_participants,2.7,verify,NOT_REPORTED,EMA_SmPC_Qalsody,Annex I SmPC sections 4.8 Undesirable effects and 4.4,EMA_SmPC_Qalsody,NOT_APPLICABLE,human,"denominator n=147 is stated by the label for its common-adverse-reaction sentence; the serious-reaction percentages are consistent with the same denominator (2.7% x 147 = 4.0; 1.4% x 147 = 2.1) but the label does not restate it, so this consistency is corroboration, not a denominator the label asserts for those rows.",NOT_APPLICABLE,regulatory_label,EMA Annex I Summary of Product Characteristics,NOT_APPLICABLE,csf_pressure_disturbance
NOT_APPLICABLE,EU labelled population,exposed,measured_positive,"A regulatory label states identified risks. It is not a record of everything looked for and not found, so a silent label is a weaker negative than a trial-arm zero - except where, as here, the same label itemises several neighbouring risks and omits this one.",investigator_diagnosis,drug_attributed,"""The serious adverse reactions in tofersen-treated participants were myelitis (4.1%), increase intracranial pressure and/or papilloedema (2.7%), radiculitis (1.4%) and aseptic meningitis (1.4%).""",CSF_and_neuraxis,NOT_APPLICABLE,intrathecal_lumbar,,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,B,NOT_APPLICABLE,NOT_APPLICABLE,"2 = serious aseptic meningitis, named at SCHEMA.md rubric grade 2.",provisional,2,SOD1_amyotrophic_lateral_sclerosis,TRUE,NOT_REPORTED,NOT_APPLICABLE,147,NOT_APPLICABLE,"EMA product information. Rights of reuse were not established in this session, so redistribution is 'verify': the verbatim text is quoted as evidence and a redistributor should resolve the licence before republishing the value. Retrieved document at sources/raw/sweep4_ema_smpc_qalsody.pdf. Retrieved 2026-08-29.",tofersen,NOT_APPLICABLE,csf_composition,FALSE,ema_serious_aseptic_meningitis_pct,NOT_APPLICABLE,pct_of_participants,1.4,verify,NOT_REPORTED,EMA_SmPC_Qalsody,"Annex I SmPC section 4.8 Undesirable effects, Summary of safety profile",EMA_SmPC_Qalsody,NOT_APPLICABLE,human,"denominator n=147 is stated by the label for its common-adverse-reaction sentence; the serious-reaction percentages are consistent with the same denominator (2.7% x 147 = 4.0; 1.4% x 147 = 2.1) but the label does not restate it, so this consistency is corroboration, not a denominator the label asserts for those rows.",NOT_APPLICABLE,regulatory_label,EMA Annex I Summary of Product Characteristics,NOT_APPLICABLE,csf_composition_disturbance
NOT_APPLICABLE,EU labelled population,exposed,measured_positive,"A regulatory label states identified risks. It is not a record of everything looked for and not found, so a silent label is a weaker negative than a trial-arm zero - except where, as here, the same label itemises several neighbouring risks and omits this one.",investigator_diagnosis,drug_attributed,"""The most common adverse reactions reported in tofersen-treated participants who received 100 mg (n=147) were pain (68.7%), arthralgia (36.7%), fatigue (30.6%), CSF white blood cell increased (27.9%), CSF protein increased (26.5%), myalgia (22.4%) and pyrexia (20.4%).""",CSF_and_neuraxis,NOT_APPLICABLE,intrathecal_lumbar,,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,B,NOT_APPLICABLE,NOT_APPLICABLE,1 = a CSF composition change reported as a common adverse reaction with no stated symptom or intervention (SCHEMA.md rubric grade 1).,provisional,1,SOD1_amyotrophic_lateral_sclerosis,TRUE,NOT_REPORTED,NOT_APPLICABLE,147,NOT_APPLICABLE,"EMA product information. Rights of reuse were not established in this session, so redistribution is 'verify': the verbatim text is quoted as evidence and a redistributor should resolve the licence before republishing the value. Retrieved document at sources/raw/sweep4_ema_smpc_qalsody.pdf. Retrieved 2026-08-29.",tofersen,NOT_APPLICABLE,csf_composition,FALSE,ema_csf_white_blood_cell_increased_pct,NOT_APPLICABLE,pct_of_participants,27.9,verify,NOT_REPORTED,EMA_SmPC_Qalsody,"Annex I SmPC section 4.8, Summary of safety profile",EMA_SmPC_Qalsody,NOT_APPLICABLE,human,"denominator n=147 is stated by the label for its common-adverse-reaction sentence; the serious-reaction percentages are consistent with the same denominator (2.7% x 147 = 4.0; 1.4% x 147 = 2.1) but the label does not restate it, so this consistency is corroboration, not a denominator the label asserts for those rows.",NOT_APPLICABLE,regulatory_label,EMA Annex I Summary of Product Characteristics,NOT_APPLICABLE,csf_composition_disturbance
NOT_APPLICABLE,EU labelled population,exposed,measured_positive,"A regulatory label states identified risks. It is not a record of everything looked for and not found, so a silent label is a weaker negative than a trial-arm zero - except where, as here, the same label itemises several neighbouring risks and omits this one.",investigator_diagnosis,drug_attributed,"""... CSF white blood cell increased (27.9%), CSF protein increased (26.5%), myalgia (22.4%) and pyrexia (20.4%).""",CSF_and_neuraxis,NOT_APPLICABLE,intrathecal_lumbar,,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,B,NOT_APPLICABLE,NOT_APPLICABLE,1 = a CSF composition change reported as a common adverse reaction with no stated symptom or intervention (SCHEMA.md rubric grade 1).,provisional,1,SOD1_amyotrophic_lateral_sclerosis,TRUE,NOT_REPORTED,NOT_APPLICABLE,147,NOT_APPLICABLE,"EMA product information. Rights of reuse were not established in this session, so redistribution is 'verify': the verbatim text is quoted as evidence and a redistributor should resolve the licence before republishing the value. Retrieved document at sources/raw/sweep4_ema_smpc_qalsody.pdf. Retrieved 2026-08-29.",tofersen,NOT_APPLICABLE,csf_composition,FALSE,ema_csf_protein_increased_pct,NOT_APPLICABLE,pct_of_participants,26.5,verify,NOT_REPORTED,EMA_SmPC_Qalsody,"Annex I SmPC section 4.8, Summary of safety profile",EMA_SmPC_Qalsody,NOT_APPLICABLE,human,"denominator n=147 is stated by the label for its common-adverse-reaction sentence; the serious-reaction percentages are consistent with the same denominator (2.7% x 147 = 4.0; 1.4% x 147 = 2.1) but the label does not restate it, so this consistency is corroboration, not a denominator the label asserts for those rows.",NOT_APPLICABLE,regulatory_label,EMA Annex I Summary of Product Characteristics,NOT_APPLICABLE,csf_composition_disturbance
NOT_APPLICABLE,EU labelled population,exposed,measured_null,"A regulatory label states identified risks. It is not a record of everything looked for and not found, so a silent label is a weaker negative than a trial-arm zero - except where, as here, the same label itemises several neighbouring risks and omits this one.",investigator_diagnosis,not_discussed,"The label names myelitis, radiculitis, increased intracranial pressure and/or papilloedema, and aseptic meningitis as serious adverse reactions, and no hydrocephalus. A regulator that itemises four CNS risks and omits a fifth is a stronger negative than silence about the whole organ system.",CSF_and_neuraxis,NOT_APPLICABLE,intrathecal_lumbar,,NOT_APPLICABLE,NOT_REPORTED,no_change,NOT_REPORTED,A,NOT_APPLICABLE,NOT_APPLICABLE,"0 = the EU label for this product contains no occurrence of the string 'hydrocephal' anywhere in its 48,316 extracted characters, while naming four other CNS adverse reactions explicitly (SCHEMA.md rubric grade 0).",provisional,0,SOD1_amyotrophic_lateral_sclerosis,TRUE,0,NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,"EMA product information. Rights of reuse were not established in this session, so redistribution is 'verify': the verbatim text is quoted as evidence and a redistributor should resolve the licence before republishing the value. Retrieved document at sources/raw/sweep4_ema_smpc_qalsody.pdf. Retrieved 2026-08-29.",tofersen,NOT_APPLICABLE,hydrocephalus_event,TRUE,ema_label_statement_hydrocephalus,NOT_APPLICABLE,verbatim_label_text,NOT_REPORTED,verify,NOT_REPORTED,EMA_SmPC_Qalsody,"whole Annex I SmPC, full-text sweep for 'hydrocephal' (0 hits)",EMA_SmPC_Qalsody,NOT_APPLICABLE,human,NOT_REPORTED,NOT_APPLICABLE,regulatory_label,EMA Annex I Summary of Product Characteristics,NOT_APPLICABLE,ventricular_enlargement
NOT_APPLICABLE,EU labelled population,exposed,measured_null,"A regulatory label states identified risks. It is not a record of everything looked for and not found, so a silent label is a weaker negative than a trial-arm zero - except where, as here, the same label itemises several neighbouring risks and omits this one.",investigator_diagnosis,not_discussed,"Nothing in the label bears on this endpoint. inotersen is dosed subcutaneously, so this row also serves as a route contrast: the systemic ASO label is silent where both intrathecal ASO labels are not.",NOT_APPLICABLE,NOT_APPLICABLE,subcutaneous,,NOT_APPLICABLE,NOT_REPORTED,no_change,NOT_REPORTED,A,NOT_APPLICABLE,NOT_APPLICABLE,"0 = full-text sweep of the EU label returns zero occurrences of 'hydrocephal', 'intracranial pressure', 'papilloedema' and 'aseptic meningitis' (SCHEMA.md rubric grade 0).",provisional,0,hereditary_transthyretin_amyloidosis,TRUE,0,NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,"EMA product information. Rights of reuse were not established in this session, so redistribution is 'verify': the verbatim text is quoted as evidence and a redistributor should resolve the licence before republishing the value. Retrieved document at sources/raw/sweep4_ema_smpc_tegsedi.txt. Retrieved 2026-08-29.",inotersen,NOT_APPLICABLE,hydrocephalus_event,TRUE,ema_label_statement_hydrocephalus,NOT_APPLICABLE,verbatim_label_text,NOT_REPORTED,verify,NOT_REPORTED,EMA_SmPC_Tegsedi,"whole Annex I SmPC, full-text sweep (0 hits for all four concepts)",EMA_SmPC_Tegsedi,NOT_APPLICABLE,human,NOT_REPORTED,NOT_APPLICABLE,regulatory_label,EMA Annex I Summary of Product Characteristics,NOT_APPLICABLE,ventricular_enlargement
60 mg every 8 weeks intrathecal (escalated from 40 mg q8w at week 26),"valeriasen (KT777), intrathecal",exposed,measured_positive,"Actively investigated. After the first patient's event the protocol was revised to require periodic MRI ventriculograms and an opening-pressure measurement at every lumbar puncture, so later rows are protocol-specified rather than incidental.",investigator_diagnosis,drug_attributed,"""Brain and spine imaging was obtained 2 days later and revealed severe communicating hydrocephalus with T2 white matter changes representing transependymal flow but no other parenchymal changes."" Attribution: ""We therefore considered the serious adverse events encountered in our two patients to be attributable to dosing of the study drug.""",lateral_ventricles,NOT_APPLICABLE,intrathecal_lumbar,60 mg every 8 weeks intrathecal (escalated from 40 mg q8w at week 26),NOT_APPLICABLE,NOT_REPORTED,increase,both patients in this two-patient protocol developed the endpoint; there is no untreated comparator,A,L5-PT1,NOT_REPORTED,"3 = hydrocephalus requiring a CSF-diversion procedure; an endoscopic third ventriculostomy with choroid plexus cauterization was performed, it did not relieve the hydrocephalus, and goals of care were redirected to palliative care (SCHEMA.md rubric grade 3).",provisional,3,KCNT1 developmental and epileptic encephalopathy,TRUE,1,NOT_APPLICABLE,2,NOT_APPLICABLE,"Licence CC BY-NC-ND: summary statistics and short quoted evidence only; no table or figure is reproduced. Sequences and per-position chemistry for valeriasen exist in the source's Extended Data Table 1 but are published as an IMAGE in which 2'-MOE positions are encoded by bold and underline, which does not survive text extraction; they are therefore NOT transcribed here (METHODOLOGY.md OI-02). Full text at sources/raw/sweep1_kcnt1_aso_infants_PMC13099374.xml. Retrieved 2026-08-29.",valeriasen,NOT_APPLICABLE,hydrocephalus_event,TRUE,communicating_hydrocephalus_diagnosed,NOT_APPLICABLE,diagnosis,severe communicating hydrocephalus with transependymal flow,summary_stat_only,NOT_REPORTED,Nakayama_2026_NatMed_KCNT1,"Results, 'Safety and adverse events', patient 1 paragraph",PMID 41981306; PMC13099374; doi 10.1038/s41591-026-04314-9,NOT_APPLICABLE,human,NOT_REPORTED,NOT_APPLICABLE,clinical_case,"n-of-1 investigational protocol, patient 1 of 2; 2-year-old girl with de novo KCNT1 p.Arg474His epilepsy of infancy with migrating focal seizures",8 weeks after the 9th intrathecal dose,ventricular_enlargement
60 mg every 8 weeks intrathecal,"valeriasen (KT777), intrathecal",exposed,measured_positive,"Actively investigated. After the first patient's event the protocol was revised to require periodic MRI ventriculograms and an opening-pressure measurement at every lumbar puncture, so later rows are protocol-specified rather than incidental.",investigator_diagnosis,drug_attributed,"""An endoscopic third ventriculostomy with choroid plexus cauterization was performed, showing a CSF opening pressure of 55 cm H2O.""",lateral_ventricles,NOT_APPLICABLE,intrathecal_lumbar,60 mg every 8 weeks intrathecal,NOT_APPLICABLE,NOT_REPORTED,increase,both patients in this two-patient protocol developed the endpoint; there is no untreated comparator,B,L5-PT1,NOT_REPORTED,2 = measured raised intracranial pressure (SCHEMA.md rubric grade 2). The grade-3 consequence is carried by the sibling hydrocephalus and diversion-procedure rows in the same event cluster.,provisional,2,KCNT1 developmental and epileptic encephalopathy,TRUE,1,NOT_APPLICABLE,2,NOT_APPLICABLE,"Licence CC BY-NC-ND: summary statistics and short quoted evidence only; no table or figure is reproduced. Sequences and per-position chemistry for valeriasen exist in the source's Extended Data Table 1 but are published as an IMAGE in which 2'-MOE positions are encoded by bold and underline, which does not survive text extraction; they are therefore NOT transcribed here (METHODOLOGY.md OI-02). Full text at sources/raw/sweep1_kcnt1_aso_infants_PMC13099374.xml. Retrieved 2026-08-29.",valeriasen,NOT_APPLICABLE,csf_pressure,FALSE,CSF_opening_pressure,NOT_APPLICABLE,cmH2O,55,summary_stat_only,NOT_REPORTED,Nakayama_2026_NatMed_KCNT1,"Results, 'Safety and adverse events', patient 1 paragraph",PMID 41981306; PMC13099374; doi 10.1038/s41591-026-04314-9,NOT_APPLICABLE,human,NOT_REPORTED,NOT_APPLICABLE,clinical_case,"n-of-1 investigational protocol, patient 1 of 2; 2-year-old girl with de novo KCNT1 p.Arg474His epilepsy of infancy with migrating focal seizures",at endoscopic third ventriculostomy,csf_pressure_disturbance
60 mg every 8 weeks intrathecal,"valeriasen (KT777), intrathecal",exposed,measured_positive,"Actively investigated. After the first patient's event the protocol was revised to require periodic MRI ventriculograms and an opening-pressure measurement at every lumbar puncture, so later rows are protocol-specified rather than incidental.",investigator_diagnosis,drug_attributed,"""No improvement in hydrocephalus was seen over the following 2 days. After considering ventriculoperitoneal shunt placement, and mindful of the seriousness of her disease course before experimental therapy, the family withdrew from the investigational protocol in favor of palliative care.""",lateral_ventricles,NOT_APPLICABLE,intrathecal_lumbar,60 mg every 8 weeks intrathecal,NOT_APPLICABLE,NOT_REPORTED,increase,both patients in this two-patient protocol developed the endpoint; there is no untreated comparator,A,L5-PT1,NOT_REPORTED,3 = a CSF-diversion procedure was performed (SCHEMA.md rubric grade 3).,provisional,3,KCNT1 developmental and epileptic encephalopathy,TRUE,1,NOT_APPLICABLE,2,NOT_APPLICABLE,"Licence CC BY-NC-ND: summary statistics and short quoted evidence only; no table or figure is reproduced. Sequences and per-position chemistry for valeriasen exist in the source's Extended Data Table 1 but are published as an IMAGE in which 2'-MOE positions are encoded by bold and underline, which does not survive text extraction; they are therefore NOT transcribed here (METHODOLOGY.md OI-02). Full text at sources/raw/sweep1_kcnt1_aso_infants_PMC13099374.xml. Retrieved 2026-08-29.",valeriasen,NOT_APPLICABLE,shunt_or_drain_intervention,TRUE,endoscopic_third_ventriculostomy_choroid_plexus_cauterization,NOT_APPLICABLE,intervention,endoscopic third ventriculostomy with choroid plexus cauterization,summary_stat_only,NOT_REPORTED,Nakayama_2026_NatMed_KCNT1,"Results, 'Safety and adverse events', patient 1 paragraph",PMID 41981306; PMC13099374; doi 10.1038/s41591-026-04314-9,NOT_APPLICABLE,human,NOT_REPORTED,NOT_APPLICABLE,clinical_case,"n-of-1 investigational protocol, patient 1 of 2; 2-year-old girl with de novo KCNT1 p.Arg474His epilepsy of infancy with migrating focal seizures",after diagnosis,ventricular_enlargement
"escalating intrathecal 10, 20, 30, 40 mg","valeriasen (KT777), intrathecal",exposed,measured_null,"Actively investigated. After the first patient's event the protocol was revised to require periodic MRI ventriculograms and an opening-pressure measurement at every lumbar puncture, so later rows are protocol-specified rather than incidental.",investigator_diagnosis,not_discussed,"""A brain MRI was unremarkable (including normal ventricular size) (day 55). Lumbar puncture showed a normal opening pressure of 16 cm H2O.""",lateral_ventricles,NOT_APPLICABLE,intrathecal_lumbar,"escalating intrathecal 10, 20, 30, 40 mg",NOT_APPLICABLE,NOT_REPORTED,no_change,both patients in this two-patient protocol developed the endpoint; there is no untreated comparator,A,L5-PT2,NOT_REPORTED,"0 = brain MRI performed and reported as unremarkable including normal ventricular size (SCHEMA.md rubric grade 0). A WITHIN-PATIENT negative seven days before the same patient's ventricular enlargement, which is the strongest form of negative in this dataset.",provisional,0,KCNT1 developmental and epileptic encephalopathy,TRUE,0,NOT_APPLICABLE,2,NOT_APPLICABLE,"Licence CC BY-NC-ND: summary statistics and short quoted evidence only; no table or figure is reproduced. Sequences and per-position chemistry for valeriasen exist in the source's Extended Data Table 1 but are published as an IMAGE in which 2'-MOE positions are encoded by bold and underline, which does not survive text extraction; they are therefore NOT transcribed here (METHODOLOGY.md OI-02). Full text at sources/raw/sweep1_kcnt1_aso_infants_PMC13099374.xml. Retrieved 2026-08-29.",valeriasen,NOT_APPLICABLE,ventricular_morphometry,TRUE,ventricular_size_MRI,NOT_APPLICABLE,qualitative_imaging,normal ventricular size,summary_stat_only,NOT_REPORTED,Nakayama_2026_NatMed_KCNT1,"Results, 'Safety and adverse events', patient 2 paragraph",PMID 41981306; PMC13099374; doi 10.1038/s41591-026-04314-9,NOT_APPLICABLE,human,NOT_REPORTED,NOT_APPLICABLE,clinical_case,"n-of-1 investigational protocol, patient 2 of 2; 2-year-old girl with de novo KCNT1 p.Arg474His epilepsy of infancy with migrating focal seizures",day 55,ventricular_enlargement
"escalating intrathecal 10, 20, 30, 40 mg","valeriasen (KT777), intrathecal",exposed,measured_positive,"Actively investigated. After the first patient's event the protocol was revised to require periodic MRI ventriculograms and an opening-pressure measurement at every lumbar puncture, so later rows are protocol-specified rather than incidental.",investigator_diagnosis,drug_attributed,"""CSF WBCs and protein were slightly elevated at 28 cells mm-3 and 83 mg dl-1, respectively (and follow-up cell counts and protein levels were normal).""",lateral_ventricles,NOT_APPLICABLE,intrathecal_lumbar,"escalating intrathecal 10, 20, 30, 40 mg",NOT_APPLICABLE,NOT_REPORTED,increase,both patients in this two-patient protocol developed the endpoint; there is no untreated comparator,B,L5-PT2,NOT_REPORTED,"1 = mild CSF composition change, described by the source as slightly elevated and normalising on follow-up, with no intervention (SCHEMA.md rubric grade 1).",provisional,1,KCNT1 developmental and epileptic encephalopathy,TRUE,1,NOT_APPLICABLE,2,NOT_APPLICABLE,"Licence CC BY-NC-ND: summary statistics and short quoted evidence only; no table or figure is reproduced. Sequences and per-position chemistry for valeriasen exist in the source's Extended Data Table 1 but are published as an IMAGE in which 2'-MOE positions are encoded by bold and underline, which does not survive text extraction; they are therefore NOT transcribed here (METHODOLOGY.md OI-02). Full text at sources/raw/sweep1_kcnt1_aso_infants_PMC13099374.xml. Retrieved 2026-08-29.",valeriasen,NOT_APPLICABLE,csf_composition,FALSE,CSF_white_cells_and_protein,NOT_APPLICABLE,mixed,WBC 28 cells/mm3; protein 83 mg/dL,summary_stat_only,NOT_REPORTED,Nakayama_2026_NatMed_KCNT1,"Results, 'Safety and adverse events', patient 2 paragraph",PMID 41981306; PMC13099374; doi 10.1038/s41591-026-04314-9,NOT_APPLICABLE,human,NOT_REPORTED,NOT_APPLICABLE,clinical_case,"n-of-1 investigational protocol, patient 2 of 2; 2-year-old girl with de novo KCNT1 p.Arg474His epilepsy of infancy with migrating focal seizures",day 55,csf_composition_disturbance
"escalating intrathecal 10, 20, 30, 40 mg","valeriasen (KT777), intrathecal",exposed,measured_positive,"Actively investigated. After the first patient's event the protocol was revised to require periodic MRI ventriculograms and an opening-pressure measurement at every lumbar puncture, so later rows are protocol-specified rather than incidental.",investigator_diagnosis,drug_attributed,"""While the initial brain MRI (day 55) had been unremarkable, repeat MRIs performed on days 62 and 64 showed mild increases in ventricular size. There was no evidence of obstruction.""",lateral_ventricles,NOT_APPLICABLE,intrathecal_lumbar,"escalating intrathecal 10, 20, 30, 40 mg",NOT_APPLICABLE,NOT_REPORTED,increase,both patients in this two-patient protocol developed the endpoint; there is no untreated comparator,A,L5-PT2,NOT_REPORTED,2 = symptomatic ventricular enlargement leading to intensive-care transfer and intervention (SCHEMA.md rubric grade 2); the grade-3 consequence is carried by the drain and shunt rows in the same event cluster.,provisional,2,KCNT1 developmental and epileptic encephalopathy,TRUE,1,NOT_APPLICABLE,2,NOT_APPLICABLE,"Licence CC BY-NC-ND: summary statistics and short quoted evidence only; no table or figure is reproduced. Sequences and per-position chemistry for valeriasen exist in the source's Extended Data Table 1 but are published as an IMAGE in which 2'-MOE positions are encoded by bold and underline, which does not survive text extraction; they are therefore NOT transcribed here (METHODOLOGY.md OI-02). Full text at sources/raw/sweep1_kcnt1_aso_infants_PMC13099374.xml. Retrieved 2026-08-29.",valeriasen,NOT_APPLICABLE,ventricular_morphometry,TRUE,ventricular_size_MRI,NOT_APPLICABLE,qualitative_imaging,"mild increase in ventricular size, no evidence of obstruction",summary_stat_only,NOT_REPORTED,Nakayama_2026_NatMed_KCNT1,"Results, 'Safety and adverse events', patient 2 paragraph",PMID 41981306; PMC13099374; doi 10.1038/s41591-026-04314-9,NOT_APPLICABLE,human,NOT_REPORTED,NOT_APPLICABLE,clinical_case,"n-of-1 investigational protocol, patient 2 of 2; 2-year-old girl with de novo KCNT1 p.Arg474His epilepsy of infancy with migrating focal seizures",days 62 and 64,ventricular_enlargement
